2,0,NULL,0,0,0,0,
15,0,1,0,0,0,0,
14,0,1,0,0,0,0,
18,0,0,0,0,0,0,
13,260,1,0,0,0,0,
0,685,1,2,1,1,2,
17,5,1,0,0,0,0,
19,0,0,0,0,0,0,
20,0,0,0,0,0,0,
91,50,0,2,1,2,5,
22,0,0,0,0,0,0,
23,0,0,0,0,0,0,
24,10,1,0,0,0,0,
25,0,0,0,0,0,0,
26,0,0,0,0,0,0,
27,0,0,0,0,0,0,
28,0,0,0,0,0,0,
29,0,0,0,0,0,0,
30,0,0,0,0,0,0,
31,0,0,0,0,0,0,
32,0,0,0,0,0,0,
33,0,0,0,0,0,0,
34,0,0,0,0,0,0,
35,0,0,0,0,0,0,
36,0,0,0,0,0,0,
37,0,0,0,0,0,0,
38,120,0,0,0,0,0,
39,0,0,0,0,0,0,
40,0,0,0,0,0,0,
41,0,0,0,0,0,0,
42,0,0,0,0,0,0,
1,295,0,0,0,0,0,
44,0,0,0,0,0,0,
45,0,0,0,0,0,0,
46,0,0,0,0,0,0,
47,0,0,0,0,0,0,
48,0,0,1,2,2,5,
49,320,0,1,1,2,5,
50,320,0,1,2,2,5,
51,330,0,1,2,2,5,
52,320,0,1,2,2,5,
53,20,0,1,1,2,5,
54,320,0,1,1,2,5,
55,0,0,1,1,2,4,
56,20,0,1,1,2,4,
57,0,0,0,0,0,0,
58,0,0,1,2,2,2,
59,0,0,0,0,0,0,
60,0,0,1,1,2,5,
61,0,0,1,1,2,5,
62,0,0,1,1,2,5,
63,30,0,1,1,2,5,
64,0,0,1,1,2,5,
65,330,0,1,1,2,5,
66,0,0,1,2,1,0,
67,10,0,1,1,2,6,
68,320,0,1,2,2,5,
69,330,0,1,2,2,5,
70,0,0,1,1,2,5,
71,0,0,1,1,2,4,
72,0,0,1,1,2,4,
73,340,0,1,1,2,4,
74,350,0,1,1,0,0,
75,0,0,1,2,2,5,
76,20,0,1,2,2,5,
77,10,0,1,1,2,5,
78,0,0,1,2,2,6,
79,0,0,1,2,2,5,
80,0,0,1,2,2,5,
81,0,0,1,2,2,5,
82,0,0,1,2,2,5,
83,0,0,1,0,0,0,
84,0,0,1,2,2,5,
85,0,0,0,0,0,0,
86,0,0,1,1,2,5,
87,0,0,0,0,0,0,
88,330,0,1,2,2,5,
89,10,0,1,2,2,2,
90,0,0,1,2,2,2,
92,320,0,3,1,2,0,
93,0,0,3,1,2,0,
94,0,0,2,2,2,5,
95,0,0,2,2,2,5,
96,0,0,2,2,2,5,
97,0,0,2,2,2,2,
98,300,0,0,0,0,0,
99,330,0,1,2,2,5,
100,20,0,1,2,2,5,
101,320,0,1,2,2,5,
102,330,0,1,1,2,5,
103,220,0,1,2,0,0,
104,20,0,1,1,2,3,
105,0,0,1,2,2,5,
